,image_id,labels,boxes
10,831,"[1, 1, 1, 1, 1, 1]","[[0.027587890625, 0.5223437547683716, 0.053955078125, 0.8203125], [0.582226574420929, 0.5487499833106995, 0.6094531416893005, 0.7117968797683716], [0.499267578125, 0.6078125238418579, 0.5123437643051147, 0.7439844012260437], [0.0, 0.5280468463897705, 0.015712890774011612, 0.7867968678474426], [0.10417968779802322, 0.5806249976158142, 0.12433593720197678, 0.7237499952316284], [0.01669921912252903, 0.5283593535423279, 0.02626953087747097, 0.62890625]]"
11,1436,"[1, 7, 8, 1, 7, 7, 7, 7, 1, 1, 1]","[[0.49848634004592896, 0.6278125047683716, 0.5445312261581421, 0.98046875], [0.5423046946525574, 0.5221874713897705, 0.5472656488418579, 0.6870312690734863], [0.06275390833616257, 0.5172656178474426, 0.07773437350988388, 0.883593738079071], [0.23856444656848907, 0.5621874928474426, 0.2648339867591858, 0.6957812309265137], [0.0, 0.4938281178474426, 0.006416015792638063, 0.8267968893051147], [0.006679687649011612, 0.49828124046325684, 0.013964843936264515, 0.827343761920929], [0.03304687514901161, 0.47484374046325684, 0.04145507887005806, 0.7554687261581421], [0.0668652355670929, 0.4612500071525574, 0.07657226920127869, 0.8223437666893005], [0.27640625834465027, 0.5353906154632568, 0.29567381739616394, 0.6237499713897705], [0.2732519507408142, 0.5523437261581421, 0.2913769483566284, 0.6549218893051147], [0.2568066418170929, 0.5338281393051147, 0.2803320288658142, 0.6771093606948853]]"
12,640,"[8, 5, 5, 1, 1, 1, 7, 1, 1, 1, 1, 7, 7, 5, 5, 5]","[[0.46845704317092896, 0.5682812333106995, 0.47190430760383606, 0.6478906273841858], [0.4684765636920929, 0.6075780987739563, 0.47194334864616394, 0.6591406464576721], [0.6207910180091858, 0.6104687452316284, 0.6378808617591858, 0.7452343702316284], [0.017822265625, 0.5784375071525574, 0.058867186307907104, 1.0], [0.09306640923023224, 0.6182031035423279, 0.11855468899011612, 0.78515625], [0.138916015625, 0.559374988079071, 0.15861327946186066, 0.6997656226158142], [0.40532225370407104, 0.5959374904632568, 0.41064453125, 0.8046875], [0.21552734076976776, 0.8375781178474426, 0.32691407203674316, 1.0], [0.49000000953674316, 0.6227343678474426, 0.5153710842132568, 0.9140625], [0.5124218463897705, 0.5759375095367432, 0.5225390791893005, 0.6585156321525574], [0.49898436665534973, 0.5634375214576721, 0.5084375143051147, 0.6310155987739563], [0.9468749761581421, 0.5264843702316284, 0.9515820145606995, 0.6148437261581421], [0.9402245879173279, 0.4828124940395355, 0.9454101324081421, 0.6839843988418579], [0.7220703363418579, 0.6167187690734863, 0.7337499856948853, 0.8382812738418579], [0.6911914348602295, 0.6307812333106995, 0.7053027153015137, 0.8206250071525574], [0.65869140625, 0.6181250214576721, 0.6727050542831421, 0.7961719036102295]]"
13,1359,"[8, 7, 1, 1, 1, 1, 7, 7, 1, 1, 7, 7]","[[0.5544726848602295, 0.47273436188697815, 0.5684570074081421, 1.0], [0.5219433307647705, 0.5419531464576721, 0.5278222560882568, 0.7116405963897705], [0.04566406086087227, 0.6710156202316284, 0.11137695610523224, 1.0], [0.35096681118011475, 0.8735937476158142, 0.43818360567092896, 1.0], [0.43770506978034973, 0.4359374940395355, 0.4795898497104645, 0.9878125190734863], [0.47288087010383606, 0.5575000047683716, 0.4918749928474426, 0.776171863079071], [0.10386718809604645, 0.5341406464576721, 0.11464843899011612, 0.8589843511581421], [0.12618164718151093, 0.5428125262260437, 0.13955077528953552, 0.8921874761581421], [0.018876953050494194, 0.49171873927116394, 0.03642578050494194, 0.717968761920929], [0.024570312350988388, 0.49476563930511475, 0.057861328125, 0.834765613079071], [0.06950195133686066, 0.5208593606948853, 0.07483398169279099, 0.710156261920929], [0.06543945521116257, 0.5243750214576721, 0.07240234315395355, 0.7303906083106995]]"
14,445,"[1, 8, 5, 7, 7, 1, 3, 1, 1, 7, 1, 1, 1, 8, 5, 8, 7]","[[0.5492187738418579, 0.6257030963897705, 0.5780273675918579, 0.8330468535423279], [0.4400097727775574, 0.573046863079071, 0.44677734375, 0.8396093845367432], [0.4397265613079071, 0.6752343773841858, 0.44672852754592896, 0.8553125262260437], [0.5793554782867432, 0.5809375047683716, 0.5882031321525574, 0.9318749904632568], [0.7411327958106995, 0.5521093606948853, 0.7452148199081421, 0.65625], [0.0, 0.5642187595367432, 0.026630859822034836, 1.0], [0.037353515625, 0.4749218821525574, 0.05190429836511612, 0.6082812547683716], [0.034687500447034836, 0.5948437452316284, 0.0458984375, 0.7406250238418579], [0.04109375178813934, 0.6167187690734863, 0.07091797143220901, 0.8841406106948853], [0.18812499940395355, 0.5417187213897705, 0.19142578542232513, 0.6274218559265137], [0.06221679598093033, 0.711718738079071, 0.1438574194908142, 1.0], [0.22373047471046448, 0.5887500047683716, 0.3793652355670929, 1.0], [0.49171873927116394, 0.6589062213897705, 0.5275488495826721, 1.0], [0.5933886766433716, 0.5417187213897705, 0.6028711199760437, 0.942578136920929], [0.5895019769668579, 0.7185937762260437, 0.6127636432647705, 0.9442187547683716], [0.5697363018989563, 0.5629687309265137, 0.5790039300918579, 0.9235156178474426], [0.7325878739356995, 0.5596874952316284, 0.7360156178474426, 0.6642187237739563]]"
15,1208,"[8, 1, 1, 7, 7, 1, 1, 1, 7, 1, 8, 1, 1, 1, 1]","[[0.06291992217302322, 0.5032031536102295, 0.06944335997104645, 0.6653125286102295], [0.9712988138198853, 0.41484373807907104, 0.991015613079071, 0.6322656273841858], [0.4256347715854645, 0.6188281178474426, 0.4469335973262787, 0.8409374952316284], [0.5389062762260437, 0.5742968916893005, 0.5574902296066284, 1.0], [0.5900488495826721, 0.4909375011920929, 0.5966894626617432, 0.7098437547683716], [0.0, 0.520312488079071, 0.010283202864229679, 0.6739843487739563], [0.3138378858566284, 0.7543749809265137, 0.3923925757408142, 1.0], [0.7157421708106995, 0.6224218606948853, 0.8595312237739563, 1.0], [0.9267773628234863, 0.37671875953674316, 0.9360741972923279, 0.6807031035423279], [0.8744335770606995, 0.5318750143051147, 0.9597265720367432, 0.9995312690734863], [0.9437402486801147, 0.4719531238079071, 0.9581933617591858, 0.8824218511581421], [0.9763965010643005, 0.46812498569488525, 1.0, 0.7735156416893005], [0.4513183534145355, 0.5257031321525574, 0.46638670563697815, 0.701953113079071], [0.4625781178474426, 0.5821874737739563, 0.47581055760383606, 0.6615625023841858], [0.46574220061302185, 0.5896093845367432, 0.47776368260383606, 0.6665624976158142]]"
16,287,"[7, 7, 7, 7, 8, 5, 5, 7, 8, 7, 7, 5]","[[0.24763672053813934, 0.614062488079071, 0.2610156238079071, 0.9995312690734863], [0.3186328113079071, 0.6806250214576721, 0.330078125, 1.0], [0.32591795921325684, 0.6953125, 0.3380175828933716, 0.9969531297683716], [0.36198243498802185, 0.6700000166893005, 0.37455078959465027, 0.9690625071525574], [0.11183593422174454, 0.5508593916893005, 0.11894531548023224, 0.7431250214576721], [0.8434668183326721, 0.42445313930511475, 0.8546679615974426, 0.6617187261581421], [0.8139355182647705, 0.3758593797683716, 0.823486328125, 0.6285156011581421], [0.9332226514816284, 0.4281249940395355, 0.9465722441673279, 0.9970312714576721], [0.10557617247104645, 0.5512499809265137, 0.11191406100988388, 0.7500781416893005], [0.530810534954071, 0.5482812523841858, 0.5416113138198853, 0.9282812476158142], [0.5412499904632568, 0.5785156488418579, 0.5492578148841858, 0.7506250143051147], [0.10417968779802322, 0.6286718845367432, 0.12007812410593033, 0.7314062714576721]]"
17,1183,"[1, 7, 1]","[[0.4816015660762787, 0.5764843821525574, 0.4970117211341858, 0.7075781226158142], [0.9479784965515137, 0.4870312511920929, 0.9567187428474426, 0.7476562261581421], [0.5232324004173279, 0.5375781059265137, 0.5289453268051147, 0.6025000214576721]]"
18,272,"[7, 7, 8, 6, 6, 1, 5, 5, 7, 8, 7, 7, 5]","[[0.39894530177116394, 0.6108593940734863, 0.40717774629592896, 0.9600781202316284], [0.4183007776737213, 0.6121875047683716, 0.4261230528354645, 0.8250781297683716], [0.17185546457767487, 0.5399218797683716, 0.18029296398162842, 0.8342187404632568], [0.7379491925239563, 0.4282812476158142, 0.7479101419448853, 0.6767187714576721], [0.7242578268051147, 0.4556249976158142, 0.7346289157867432, 0.6892969012260437], [0.7180371284484863, 0.35414063930511475, 0.7310742139816284, 0.5040624737739563], [0.7008984088897705, 0.46335938572883606, 0.7138574123382568, 0.7128124833106995], [0.6693066358566284, 0.3936718702316284, 0.6800390481948853, 0.6546875238418579], [0.7190820574760437, 0.37132811546325684, 0.7411133050918579, 0.9987499713897705], [0.16296875476837158, 0.5409374833106995, 0.17138671875, 0.8353906273841858], [0.5123046636581421, 0.5804687738418579, 0.518261730670929, 0.753125011920929], [0.5226953029632568, 0.5673437714576721, 0.5295507907867432, 0.7072656154632568], [0.1594531238079071, 0.6684374809265137, 0.1821582019329071, 0.8496875166893005]]"
19,931,"[1, 1, 1, 1, 1, 1, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[0.9818164110183716, 0.48539063334465027, 0.9908496141433716, 0.590624988079071], [0.9659374952316284, 0.5035937428474426, 0.9851464629173279, 0.7182031273841858], [0.9595702886581421, 0.5060155987739563, 0.9716406464576721, 0.608593761920929], [0.3668261766433716, 0.7749218940734863, 0.4297558665275574, 1.0], [0.47000977396965027, 0.6010156273841858, 0.4838281273841858, 0.7284374833106995], [0.4862988293170929, 0.5459374785423279, 0.49223631620407104, 0.6128906011581421], [0.0073046875186264515, 0.4168750047683716, 0.013388671912252903, 0.4916406273841858], [0.012226562947034836, 0.41117188334465027, 0.018984375521540642, 0.5099999904632568], [0.0075488281436264515, 0.4757031202316284, 0.012177734635770321, 0.5224999785423279], [0.003291015513241291, 0.46851563453674316, 0.007763671688735485, 0.4973437488079071], [0.0, 0.6163281202316284, 0.0224609375, 1.0], [0.984570324420929, 0.5900781154632568, 1.0, 0.9660937786102295], [0.012578125111758709, 0.5184375047683716, 0.022841796278953552, 0.5865625143051147], [0.5166211128234863, 0.5408594012260437, 0.5328124761581421, 0.7207812666893005], [0.48491209745407104, 0.6677343845367432, 0.524707019329071, 1.0], [0.49650391936302185, 0.5790625214576721, 0.5151464939117432, 0.6838281154632568], [0.019072266295552254, 0.5334374904632568, 0.036845702677965164, 0.6862499713897705], [0.64599609375, 0.5164843797683716, 0.7744140625, 1.0], [0.5123046636581421, 0.5093749761581421, 0.518750011920929, 0.5815625190734863], [0.03985351696610451, 0.6119531393051147, 0.07721679657697678, 0.9139062762260437]]"
20,195,"[1, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 6, 6, 6, 6, 6, 6, 6]","[[0.9729883074760437, 0.5754687786102295, 0.9926171898841858, 0.6895312666893005], [0.9803906083106995, 0.5464843511581421, 1.0, 0.6664062738418579], [0.14503906667232513, 0.5918750166893005, 0.15064452588558197, 0.776171863079071], [0.17213867604732513, 0.5068749785423279, 0.1786816418170929, 0.6753906011581421], [0.17795898020267487, 0.5056250095367432, 0.1844824254512787, 0.6771093606948853], [0.24267578125, 0.6172656416893005, 0.2474707067012787, 0.7210937738418579], [0.2504003942012787, 0.6132031083106995, 0.2547265589237213, 0.7124999761581421], [0.7682812213897705, 0.5071094036102295, 0.7766503691673279, 0.7679687738418579], [0.7618847489356995, 0.5029687285423279, 0.768798828125, 0.7686718702316284], [0.7549218535423279, 0.5092968940734863, 0.7627539038658142, 0.742968738079071], [0.8440722823143005, 0.5116406083106995, 0.860546886920929, 1.0], [0.709667980670929, 0.6507812738418579, 0.7179296612739563, 0.9253906011581421], [0.9377050995826721, 0.6803125143051147, 0.950878918170929, 1.0], [0.7212499976158142, 0.6134374737739563, 0.727832019329071, 0.8163281083106995], [0.727490246295929, 0.6034374833106995, 0.7330273389816284, 0.7723437547683716], [0.8400097489356995, 0.7374218702316284, 0.8471289277076721, 1.0], [0.8360937237739563, 0.7426562309265137, 0.8419530987739563, 0.9986718893051147], [0.828320324420929, 0.7348437309265137, 0.83544921875, 1.0], [0.8051464557647705, 0.6938281059265137, 0.8219433426856995, 1.0]]"
21,1549,"[7, 6, 6, 1]","[[0.7315429449081421, 0.5618749856948853, 0.7450000047683716, 1.0], [0.58837890625, 0.736328125, 0.6006640791893005, 1.0], [0.5517284870147705, 0.7139062285423279, 0.5654296875, 1.0], [0.7984277606010437, 0.4664843678474426, 0.8040722608566284, 0.530468761920929]]"
22,974,"[1, 1, 1, 1, 1, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[0.967333972454071, 0.49992188811302185, 0.9857519268989563, 0.7045312523841858], [0.9607129096984863, 0.503125011920929, 0.9725292921066284, 0.603515625], [0.37672850489616394, 0.7564843893051147, 0.43846678733825684, 1.0], [0.471435546875, 0.598437488079071, 0.484619140625, 0.7200000286102295], [0.4866894483566284, 0.5446875095367432, 0.49235352873802185, 0.6089062690734863], [0.007529296912252903, 0.41648438572883606, 0.013642578385770321, 0.4923437535762787], [0.012412109412252903, 0.41093748807907104, 0.019257811829447746, 0.5108593702316284], [0.0077050779946148396, 0.4761718809604645, 0.012382812798023224, 0.5236718654632568], [0.00341796875, 0.46937501430511475, 0.007978515699505806, 0.4985937476158142], [0.0, 0.6153125166893005, 0.022187499329447746, 1.0], [0.9847949147224426, 0.5887500047683716, 1.0, 0.9604687690734863], [0.012978515587747097, 0.520703136920929, 0.023623047396540642, 0.5924218893051147], [0.5168554782867432, 0.5446093678474426, 0.5340820550918579, 0.7275000214576721], [0.48491209745407104, 0.6677343845367432, 0.524707019329071, 1.0], [0.49650391936302185, 0.5790625214576721, 0.5151464939117432, 0.6838281154632568], [0.019794922322034836, 0.536328136920929, 0.03873046860098839, 0.6983593702316284], [0.6951269507408142, 0.5152343511581421, 0.8218749761581421, 1.0], [0.5123046636581421, 0.5093749761581421, 0.518750011920929, 0.5835937261581421], [0.04304687678813934, 0.6239843964576721, 0.08240234106779099, 0.9424999952316284]]"
23,360,"[7, 8, 8, 8, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 8, 8, 7, 7]","[[0.06702148169279099, 0.4957812428474426, 0.0710742175579071, 0.5908593535423279], [0.9784277081489563, 0.5358593463897705, 0.9886718988418579, 0.9018750190734863], [0.972705066204071, 0.5039843916893005, 0.9778711199760437, 0.651171863079071], [0.963183581829071, 0.48828125, 0.9678124785423279, 0.6393749713897705], [0.4776367247104645, 0.7251562476158142, 0.5099218487739563, 0.992968738079071], [0.4886718690395355, 0.68359375, 0.517382800579071, 0.873828113079071], [0.49996092915534973, 0.5379687547683716, 0.5259472727775574, 0.747265636920929], [0.5450586080551147, 0.6181250214576721, 0.5638964772224426, 0.7269531488418579], [0.5929394364356995, 0.6118749976158142, 0.6132031083106995, 0.7221093773841858], [0.630078136920929, 0.5970312356948853, 0.6469824314117432, 0.709765613079071], [0.15506835281848907, 0.536328136920929, 0.17275390028953552, 0.6486718654632568], [0.056884765625, 0.5145312547683716, 0.06589844077825546, 0.6004687547683716], [0.11591796576976776, 0.5257812738418579, 0.13801757991313934, 0.659375011920929], [0.05296875163912773, 0.49171873927116394, 0.057402342557907104, 0.5967187285423279], [0.2546972632408142, 0.5249999761581421, 0.2596972584724426, 0.5934374928474426], [0.3849413990974426, 0.4652343690395355, 0.39090821146965027, 0.5550000071525574], [0.5102245807647705, 0.592968761920929, 0.5151953101158142, 0.703906238079071], [0.5170996189117432, 0.5885937213897705, 0.5223925709724426, 0.6971874833106995]]"
24,401,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 8, 7, 8, 8, 7, 7]","[[0.4753125011920929, 0.739453136920929, 0.5118359327316284, 0.9993749856948853], [0.48551759123802185, 0.647656261920929, 0.5135742425918579, 0.8366405963897705], [0.5420898199081421, 0.5396093726158142, 0.5668847560882568, 0.7139062285423279], [0.5778124928474426, 0.6182031035423279, 0.5979980230331421, 0.7176562547683716], [0.6060449481010437, 0.6073437333106995, 0.6241601705551147, 0.7016406059265137], [0.6297656297683716, 0.6041406393051147, 0.6454784870147705, 0.7007031440734863], [0.037041015923023224, 0.5532031059265137, 0.046210937201976776, 0.618359386920929], [0.05586913973093033, 0.5145312547683716, 0.06489257514476776, 0.6004687547683716], [0.11712890863418579, 0.5327343940734863, 0.13996094465255737, 0.6641406416893005], [0.027958983555436134, 0.5467968583106995, 0.03480468690395355, 0.6567187309265137], [0.07797851413488388, 0.5152343511581421, 0.08363281190395355, 0.645312488079071], [0.3233984410762787, 0.46671876311302185, 0.3296191394329071, 0.5833593606948853], [0.46114256978034973, 0.5525000095367432, 0.46821290254592896, 0.7250000238418579], [0.48215821385383606, 0.5827343463897705, 0.4871289134025574, 0.6841406226158142], [0.48600587248802185, 0.5813281536102295, 0.4901171922683716, 0.6809375286102295]]"
25,825,"[1, 1, 1, 1, 1, 1, 1, 1, 1]","[[0.08759765326976776, 0.6429687738418579, 0.20076172053813934, 0.9883593916893005], [0.4993945360183716, 0.6089843511581421, 0.5124707221984863, 0.7479687333106995], [0.0, 0.5280468463897705, 0.015869140625, 0.7889062762260437], [0.13463866710662842, 0.5682031512260437, 0.14571289718151093, 0.6862499713897705], [0.13049805164337158, 0.6173437237739563, 0.15180663764476776, 0.7873437404632568], [0.013808594085276127, 0.5159375071525574, 0.02054687589406967, 0.5870312452316284], [0.024160156026482582, 0.561328113079071, 0.04140625149011612, 0.7435156106948853], [0.14937500655651093, 0.555859386920929, 0.16933593153953552, 0.731249988079071], [0.8594824075698853, 0.4884375035762787, 0.8844921588897705, 0.6528906226158142]]"
